fecha,NMT,laeq
2014-01-23,14,65.69999999999999
2014-01-23,16,62.225
2014-01-23,17,54.6
2014-01-23,18,53.75
2014-01-23,19,61.2
2014-01-23,20,62.0
2014-01-23,24,45.2
2014-01-23,27,61.975
2014-01-23,28,65.85
2014-01-23,29,58.6
2014-01-23,30,61.05
2014-01-23,31,61.5
2014-01-23,47,54.1
2014-01-23,48,62.375
2014-01-23,54,59.375
2014-01-23,55,55.525
2014-01-23,86,56.0
2014-01-24,3,62.725
2014-01-24,4,65.825
2014-01-24,5,61.6
2014-01-24,8,68.85
2014-01-24,10,64.175
2014-01-24,11,68.8
2014-01-24,12,63.25
2014-01-24,13,59.75
2014-01-24,14,66.05
2014-01-24,16,65.975
2014-01-24,17,55.175000000000004
2014-01-24,18,56.95
2014-01-24,19,60.95
2014-01-24,20,61.825
2014-01-24,24,47.75
2014-01-24,27,61.575
2014-01-24,28,65.4
2014-01-24,29,57.425
2014-01-24,30,60.7
2014-01-24,31,62.175
2014-01-24,47,54.35
2014-01-24,48,62.875
2014-01-24,54,60.125
2014-01-24,55,54.225
2014-01-24,86,57.3
2014-01-25,3,61.65
2014-01-25,4,65.475
2014-01-25,5,60.375
2014-01-25,8,68.025
2014-01-25,10,63.125
2014-01-25,11,67.525
2014-01-25,12,64.0
2014-01-25,13,59.55
2014-01-25,14,64.925
2014-01-25,16,61.35
2014-01-25,17,55.225
2014-01-25,18,55.425
2014-01-25,19,60.05
2014-01-25,20,60.6
2014-01-25,24,47.325
2014-01-25,27,60.15
2014-01-25,28,64.15
2014-01-25,29,55.85
2014-01-25,30,59.5
2014-01-25,31,62.349999999999994
2014-01-25,47,52.225
2014-01-25,48,62.0
2014-01-25,54,58.9
2014-01-25,55,53.55
2014-01-25,86,55.725
2014-01-26,3,60.6
2014-01-26,4,64.975
2014-01-26,5,59.45
2014-01-26,8,67.85
2014-01-26,10,62.2
2014-01-26,11,66.65
2014-01-26,12,62.125
2014-01-26,13,56.05
2014-01-26,14,64.15
2014-01-26,16,60.25
2014-01-26,17,53.275
2014-01-26,18,58.825
2014-01-26,19,59.625
2014-01-26,20,60.3
2014-01-26,24,46.95
2014-01-26,27,58.625
2014-01-26,28,63.699999999999996
2014-01-26,29,56.225
2014-01-26,30,58.675
2014-01-26,31,60.925
2014-01-26,47,52.45
2014-01-26,48,61.95
2014-01-26,54,57.9
2014-01-26,55,51.775
2014-01-26,86,55.0
2014-01-27,3,59.8
2014-01-27,4,63.75
2014-01-27,5,60.325
2014-01-27,8,67.75
2014-01-27,10,63.275000000000006
2014-01-27,11,67.5
2014-01-27,12,62.375
2014-01-27,13,56.575
2014-01-27,14,64.125
2014-01-27,16,61.599999999999994
2014-01-27,17,54.925
2014-01-27,18,53.05
2014-01-27,19,61.225
2014-01-27,20,61.1
2014-01-27,24,46.425
2014-01-27,27,60.825
2014-01-27,28,65.125
2014-01-27,29,56.25
2014-01-27,30,61.625
2014-01-27,31,61.45
2014-01-27,47,56.25
2014-01-27,48,61.824999999999996
2014-01-27,54,59.900000000000006
2014-01-27,55,53.625
2014-01-27,86,56.475
2014-01-28,3,59.575
2014-01-28,4,64.925
2014-01-28,5,60.35
2014-01-28,8,68.025
2014-01-28,10,63.575
2014-01-28,11,67.75
2014-01-28,12,63.224999999999994
2014-01-28,13,56.825
2014-01-28,14,65.05
2014-01-28,16,61.675000000000004
2014-01-28,17,54.9
2014-01-28,18,53.225
2014-01-28,19,60.15
2014-01-28,20,61.150000000000006
2014-01-28,24,48.925
2014-01-28,27,61.025
2014-01-28,28,65.55
2014-01-28,29,56.975
2014-01-28,30,60.349999999999994
2014-01-28,31,61.925
2014-01-28,47,59.475
2014-01-28,48,62.025
2014-01-28,54,59.4
2014-01-28,55,54.575
2014-01-28,86,56.325
2014-01-29,3,59.75
2014-01-29,4,64.925
2014-01-29,5,60.775
2014-01-29,8,68.8
2014-01-29,10,63.525000000000006
2014-01-29,11,68.85
2014-01-29,12,63.525
2014-01-29,13,56.675
2014-01-29,14,64.825
2014-01-29,16,61.9
2014-01-29,17,54.375
2014-01-29,18,53.1
2014-01-29,19,61.45
2014-01-29,20,61.35
2014-01-29,24,45.724999999999994
2014-01-29,27,61.199999999999996
2014-01-29,28,65.625
2014-01-29,29,56.725
2014-01-29,30,60.15
2014-01-29,31,61.775
2014-01-29,47,55.25
2014-01-29,48,62.275000000000006
2014-01-29,54,59.5
2014-01-29,55,54.4
2014-01-29,86,56.8
2014-01-30,3,60.075
2014-01-30,4,65.225
2014-01-30,5,60.875
2014-01-30,8,68.525
2014-01-30,10,63.775
2014-01-30,11,75.7
2014-01-30,12,62.974999999999994
2014-01-30,13,56.875
2014-01-30,14,64.8
2014-01-30,16,62.05
2014-01-30,17,54.8
2014-01-30,18,54.4
2014-01-30,19,60.225
2014-01-30,20,61.375
2014-01-30,24,44.4
2014-01-30,27,61.875
2014-01-30,28,65.55
2014-01-30,29,56.15
2014-01-30,30,59.9
2014-01-30,31,61.625
2014-01-30,47,54.6
2014-01-30,48,62.099999999999994
2014-01-30,54,59.125
2014-01-30,55,53.7
2014-01-30,86,61.375
2014-01-31,3,62.3
2014-01-31,4,65.95
2014-01-31,5,61.0
2014-01-31,8,68.72500000000001
2014-01-31,10,63.9
2014-01-31,11,68.45
2014-01-31,12,62.875
2014-01-31,13,59.25
2014-01-31,14,64.9
2014-01-31,16,61.575
2014-01-31,17,54.7
2014-01-31,18,53.675
2014-01-31,19,61.0
2014-01-31,20,61.575
2014-01-31,24,45.825
2014-01-31,27,60.125
2014-01-31,28,65.4
2014-01-31,29,56.900000000000006
2014-01-31,30,59.475
2014-01-31,31,61.975
2014-01-31,47,55.125
2014-01-31,48,63.125
2014-01-31,54,59.3
2014-01-31,55,53.8
2014-01-31,86,56.3
2014-02-01,3,60.925
2014-02-01,4,65.975
2014-02-01,5,61.35
2014-02-01,8,68.225
2014-02-01,10,63.85
2014-02-01,11,67.775
2014-02-01,12,62.225
2014-02-01,13,56.575
2014-02-01,14,64.375
2014-02-01,16,60.875
2014-02-01,17,56.25
2014-02-01,18,53.85
2014-02-01,19,59.975
2014-02-01,20,60.75
2014-02-01,24,46.7
2014-02-01,27,59.0
2014-02-01,28,64.65
2014-02-01,29,56.1
2014-02-01,30,59.375
2014-02-01,31,62.25
2014-02-01,47,53.625
2014-02-01,48,61.925
2014-02-01,54,59.525
2014-02-01,55,52.375
2014-02-01,86,55.325
2014-02-02,3,59.875
2014-02-02,4,64.75
2014-02-02,5,59.625
2014-02-02,8,68.05
2014-02-02,10,62.9
2014-02-02,11,67.225
2014-02-02,12,62.475
2014-02-02,13,57.05
2014-02-02,14,64.45
2014-02-02,16,60.05
2014-02-02,17,53.525
2014-02-02,18,53.425
2014-02-02,19,60.25
2014-02-02,20,60.05
2014-02-02,24,46.75
2014-02-02,27,58.9
2014-02-02,28,64.125
2014-02-02,29,56.15
2014-02-02,30,56.825
2014-02-02,31,60.825
2014-02-02,47,50.825
2014-02-02,48,61.125
2014-02-02,54,59.0
2014-02-02,55,51.75
2014-02-02,86,54.125
2014-02-03,3,59.525
2014-02-03,4,64.925
2014-02-03,5,61.075
2014-02-03,8,68.65
2014-02-03,10,63.575
2014-02-03,11,68.475
2014-02-03,12,62.699999999999996
2014-02-03,13,56.4
2014-02-03,14,64.825
2014-02-03,16,61.9
2014-02-03,17,54.55
2014-02-03,18,54.474999999999994
2014-02-03,19,61.25
2014-02-03,20,60.975
2014-02-03,24,44.5
2014-02-03,27,60.85
2014-02-03,28,66.35
2014-02-03,29,57.4
2014-02-03,30,59.6
2014-02-03,31,61.8
2014-02-03,47,54.425
2014-02-03,48,61.875
2014-02-03,54,59.675
2014-02-03,55,55.375
2014-02-03,86,56.3
2014-02-04,3,59.425
2014-02-04,4,64.825
2014-02-04,5,61.349999999999994
2014-02-04,8,69.17500000000001
2014-02-04,10,64.375
2014-02-04,11,68.725
2014-02-04,12,63.949999999999996
2014-02-04,13,56.55
2014-02-04,14,65.775
2014-02-04,16,62.2
2014-02-04,17,54.8
2014-02-04,18,54.6
2014-02-04,19,60.5
2014-02-04,20,61.95
2014-02-04,24,45.95
2014-02-04,27,61.075
2014-02-04,28,67.325
2014-02-04,29,57.5
2014-02-04,30,61.275
2014-02-04,31,62.4
2014-02-04,47,54.1
2014-02-04,48,62.05
2014-02-04,54,59.975
2014-02-04,55,54.725
2014-02-04,86,57.85
2014-02-05,3,60.05
2014-02-05,4,65.15
2014-02-05,5,61.35
2014-02-05,8,69.0
2014-02-05,10,65.375
2014-02-05,11,69.075
2014-02-05,12,63.375
2014-02-05,13,56.85
2014-02-05,14,65.575
2014-02-05,16,62.45
2014-02-05,17,55.225
2014-02-05,18,55.6
2014-02-05,19,60.775
2014-02-05,20,61.475
2014-02-05,24,46.875
2014-02-05,27,61.375
2014-02-05,28,66.9
2014-02-05,29,57.525000000000006
2014-02-05,30,61.225
2014-02-05,31,62.075
2014-02-05,47,55.55
2014-02-05,48,62.825
2014-02-05,54,59.7
2014-02-05,55,54.35
2014-02-05,86,57.025
2014-02-06,3,62.35
2014-02-06,4,65.55
2014-02-06,5,61.625
2014-02-06,8,69.60000000000001
2014-02-06,10,64.95
2014-02-06,11,68.85
2014-02-06,12,63.8
2014-02-06,13,57.25
2014-02-06,14,66.3
2014-02-06,16,62.55
2014-02-06,17,55.1
2014-02-06,18,54.075
2014-02-06,19,60.825
2014-02-06,20,62.6
2014-02-06,24,51.575
2014-02-06,27,61.275
2014-02-06,28,66.875
2014-02-06,29,57.825
2014-02-06,30,62.525
2014-02-06,31,62.075
2014-02-06,47,55.025
2014-02-06,48,63.974999999999994
2014-02-06,54,60.425
2014-02-06,55,54.85
2014-02-06,86,56.925
2014-02-07,3,61.65
2014-02-07,4,65.9
2014-02-07,5,61.25
2014-02-07,8,69.575
2014-02-07,10,65.125
2014-02-07,11,69.325
2014-02-07,12,63.975
2014-02-07,13,57.3
2014-02-07,14,65.575
2014-02-07,16,62.625
2014-02-07,17,54.75
2014-02-07,18,53.949999999999996
2014-02-07,19,60.975
2014-02-07,20,62.275
2014-02-07,24,47.9
2014-02-07,27,61.475
2014-02-07,28,66.19999999999999
2014-02-07,29,58.05
2014-02-07,30,61.675
2014-02-07,31,62.375
2014-02-07,47,55.724999999999994
2014-02-07,48,63.175
2014-02-07,54,60.375
2014-02-07,55,54.45
2014-02-07,86,57.725
2014-02-08,3,63.5
2014-02-08,4,66.275
2014-02-08,5,60.8
2014-02-08,8,69.55
2014-02-08,10,64.775
2014-02-08,11,69.1
2014-02-08,12,63.375
2014-02-08,13,56.375
2014-02-08,14,65.7
2014-02-08,16,61.75
2014-02-08,17,54.65
2014-02-08,18,52.725
2014-02-08,19,61.2
2014-02-08,20,61.6
2014-02-08,24,48.275000000000006
2014-02-08,27,59.925
2014-02-08,28,65.85
2014-02-08,29,56.275
2014-02-08,30,60.2
2014-02-08,31,63.225
2014-02-08,47,54.125
2014-02-08,48,63.1
2014-02-08,54,60.175
2014-02-08,55,53.225
2014-02-08,86,56.2
2014-02-09,3,61.225
2014-02-09,4,65.9
2014-02-09,5,61.225
2014-02-09,8,69.275
2014-02-09,10,64.425
2014-02-09,11,68.925
2014-02-09,12,63.3
2014-02-09,13,56.05
2014-02-09,14,65.275
2014-02-09,16,61.825
2014-02-09,17,54.85
2014-02-09,18,53.075
2014-02-09,19,60.925000000000004
2014-02-09,20,61.5
2014-02-09,24,47.525
2014-02-09,27,59.725
2014-02-09,28,65.425
2014-02-09,29,57.575
2014-02-09,30,60.15
2014-02-09,31,63.1
2014-02-09,47,52.725
2014-02-09,48,62.7
2014-02-09,54,60.05
2014-02-09,55,54.025
2014-02-09,86,56.325
2014-02-10,3,59.825
2014-02-10,4,64.825
2014-02-10,5,61.825
2014-02-10,8,68.65
2014-02-10,10,64.125
2014-02-10,11,69.125
2014-02-10,12,63.075
2014-02-10,13,57.675
2014-02-10,14,64.925
2014-02-10,16,63.0
2014-02-10,17,56.725
2014-02-10,18,53.475
2014-02-10,19,61.825
2014-02-10,20,62.7
2014-02-10,24,50.85
2014-02-10,27,61.875
2014-02-10,28,65.9
2014-02-10,29,58.35
2014-02-10,30,60.75
2014-02-10,31,62.625
2014-02-10,47,55.475
2014-02-10,48,62.725
2014-02-10,54,62.475
2014-02-10,55,55.325
2014-02-10,86,57.35
2014-02-11,3,60.075
2014-02-11,4,65.225
2014-02-11,5,61.55
2014-02-11,8,69.225
2014-02-11,10,64.55
2014-02-11,11,69.075
2014-02-11,12,65.05
2014-02-11,13,57.175
2014-02-11,14,65.425
2014-02-11,16,63.025000000000006
2014-02-11,17,57.550000000000004
2014-02-11,18,55.025
2014-02-11,19,62.0
2014-02-11,20,62.25
2014-02-11,24,45.55
2014-02-11,27,61.075
2014-02-11,28,66.3
2014-02-11,29,58.275
2014-02-11,30,62.25
2014-02-11,31,62.875
2014-02-11,47,54.375
2014-02-11,48,62.900000000000006
2014-02-11,54,61.2
2014-02-11,55,54.8
