fecha,periodo,laeq
2020-07-09,E,61.20740740740741
2020-07-09,N,55.51481481481482
2020-07-09,T,60.89259259259259
2020-07-10,D,62.13703703703704
2020-07-10,E,61.03333333333334
2020-07-10,N,55.233333333333334
2020-07-10,T,60.7
2020-07-11,D,60.1037037037037
2020-07-11,E,60.25185185185185
2020-07-11,N,55.93333333333334
2020-07-11,T,59.32592592592592
2020-07-12,D,58.74074074074074
2020-07-12,E,59.88148148148148
2020-07-12,N,55.7925925925926
2020-07-12,T,58.329629629629636
2020-07-13,D,61.36666666666667
2020-07-13,E,60.574074074074076
2020-07-13,N,54.65185185185185
2020-07-13,T,60.0
2020-07-14,D,61.05925925925926
2020-07-14,E,60.629629629629626
2020-07-14,N,54.86296296296296
2020-07-14,T,59.86296296296296
2020-07-15,D,61.45
2020-07-15,E,60.78333333333333
2020-07-15,N,54.911111111111104
2020-07-15,T,60.24
2020-07-16,D,61.69285714285714
2020-07-16,E,61.13214285714286
2020-07-16,N,55.519999999999996
2020-07-16,T,60.392857142857146
2020-07-17,D,61.16428571428571
2020-07-17,E,60.725
2020-07-17,N,55.978571428571435
2020-07-17,T,59.957142857142856
2020-07-18,D,59.057142857142864
2020-07-18,E,59.607142857142854
2020-07-18,N,55.667857142857144
2020-07-18,T,58.371428571428574
2020-07-19,D,58.31785714285714
2020-07-19,E,59.5
2020-07-19,N,55.625
2020-07-19,T,57.92142857142857
2020-07-20,D,60.6925925925926
2020-07-20,E,60.62592592592593
2020-07-20,N,54.778571428571425
2020-07-20,T,59.507407407407406
2020-07-21,D,61.6037037037037
2020-07-21,E,60.48076923076923
2020-07-21,N,54.9962962962963
2020-07-21,T,60.114814814814814
2020-07-22,D,61.313793103448276
2020-07-22,E,60.3448275862069
2020-07-22,N,57.83461538461539
2020-07-22,T,60.47931034482759
2020-07-23,D,61.10689655172414
2020-07-23,E,60.89655172413793
2020-07-23,N,54.87586206896552
2020-07-23,T,59.92758620689656
2020-07-24,D,61.01
2020-07-24,E,60.71
2020-07-24,N,54.810344827586206
2020-07-24,T,59.85666666666667
2020-07-25,D,59.11666666666667
2020-07-25,E,59.54333333333333
2020-07-25,N,55.84
2020-07-25,T,58.473333333333336
2020-07-26,D,57.69655172413793
2020-07-26,E,59.07586206896552
2020-07-26,N,55.53103448275862
2020-07-26,T,57.641379310344824
2020-07-27,D,60.54137931034483
2020-07-27,E,59.78333333333333
2020-07-27,N,54.893103448275866
2020-07-27,T,59.193103448275856
2020-07-28,D,61.07666666666667
2020-07-28,E,60.406666666666666
2020-07-28,N,54.79
2020-07-28,T,59.80333333333333
2020-07-29,D,60.97666666666667
2020-07-29,E,60.193333333333335
2020-07-29,N,55.22
2020-07-29,T,59.68333333333333
2020-07-30,D,61.443333333333335
2020-07-30,E,60.806666666666665
2020-07-30,N,55.4
2020-07-30,T,60.25666666666667
2020-07-31,D,61.28333333333333
2020-07-31,E,60.42666666666666
2020-07-31,N,55.79333333333333
2020-07-31,T,60.059999999999995
2020-08-01,D,58.63
2020-08-01,E,59.38
2020-08-01,N,55.53
2020-08-01,T,58.1
2020-08-02,D,57.81666666666667
2020-08-02,E,59.266666666666666
