Sexo	Edad	Salud mental	SI o NO_salud mental	periodo	Total
AMBOS SEXOS	De 65 y más años	Problemas para dormir	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 65 y más años	Problemas para dormir	Sí	Durante pandemia	29,40
AMBOS SEXOS	De 65 y más años	Problemas para dormir	Sí	Anterior a pandemia	28,53
AMBOS SEXOS	De 65 y más años	Problemas para dormir	No	Durante pandemia	70,60
AMBOS SEXOS	De 65 y más años	Problemas para dormir	No	Anterior a pandemia	71,47
AMBOS SEXOS	De 65 y más años	Sensación de cansancio	Total	Durante pandemia	100,00
AMBOS SEXOS	De 65 y más años	Sensación de cansancio	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 65 y más años	Sensación de cansancio	Sí	Durante pandemia	27,07
AMBOS SEXOS	De 65 y más años	Sensación de cansancio	Sí	Anterior a pandemia	33,30
AMBOS SEXOS	De 65 y más años	Sensación de cansancio	No	Durante pandemia	72,93
AMBOS SEXOS	De 65 y más años	Sensación de cansancio	No	Anterior a pandemia	66,70
AMBOS SEXOS	De 65 y más años	Poco apetido o comer demasiado	Total	Durante pandemia	100,00
AMBOS SEXOS	De 65 y más años	Poco apetido o comer demasiado	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 65 y más años	Poco apetido o comer demasiado	Sí	Durante pandemia	15,35
AMBOS SEXOS	De 65 y más años	Poco apetido o comer demasiado	Sí	Anterior a pandemia	16,22
AMBOS SEXOS	De 65 y más años	Poco apetido o comer demasiado	No	Durante pandemia	84,65
AMBOS SEXOS	De 65 y más años	Poco apetido o comer demasiado	No	Anterior a pandemia	83,78
AMBOS SEXOS	De 65 y más años	Sentirse mal con uno mismo	Total	Durante pandemia	100,00
AMBOS SEXOS	De 65 y más años	Sentirse mal con uno mismo	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 65 y más años	Sentirse mal con uno mismo	Sí	Durante pandemia	8,80
AMBOS SEXOS	De 65 y más años	Sentirse mal con uno mismo	Sí	Anterior a pandemia	11,44
AMBOS SEXOS	De 65 y más años	Sentirse mal con uno mismo	No	Durante pandemia	91,20
AMBOS SEXOS	De 65 y más años	Sentirse mal con uno mismo	No	Anterior a pandemia	88,56
AMBOS SEXOS	De 65 y más años	Problemas para concentrarse	Total	Durante pandemia	100,00
AMBOS SEXOS	De 65 y más años	Problemas para concentrarse	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 65 y más años	Problemas para concentrarse	Sí	Durante pandemia	14,88
AMBOS SEXOS	De 65 y más años	Problemas para concentrarse	Sí	Anterior a pandemia	15,00
AMBOS SEXOS	De 65 y más años	Problemas para concentrarse	No	Durante pandemia	85,12
AMBOS SEXOS	De 65 y más años	Problemas para concentrarse	No	Anterior a pandemia	85,00
AMBOS SEXOS	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	Total	Durante pandemia	100,00
AMBOS SEXOS	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Durante pandemia	11,61
AMBOS SEXOS	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Anterior a pandemia	11,78
AMBOS SEXOS	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	No	Durante pandemia	88,39
AMBOS SEXOS	De 65 y más años	Moverse o hablar más lento o más rápido de lo habitual	No	Anterior a pandemia	88,22
Hombres	TOTAL	Poco interés o alegría por hacer cosas	Total	Durante pandemia	100,00
Hombres	TOTAL	Poco interés o alegría por hacer cosas	Total	Anterior a pandemia	100,00
Hombres	TOTAL	Poco interés o alegría por hacer cosas	Sí	Durante pandemia	14,94
Hombres	TOTAL	Poco interés o alegría por hacer cosas	Sí	Anterior a pandemia	13,37
Hombres	TOTAL	Poco interés o alegría por hacer cosas	No	Durante pandemia	85,06
Hombres	TOTAL	Poco interés o alegría por hacer cosas	No	Anterior a pandemia	86,63
Hombres	TOTAL	Sensación de estar decaído o deprimido	Total	Durante pandemia	100,00
Hombres	TOTAL	Sensación de estar decaído o deprimido	Total	Anterior a pandemia	100,00
Hombres	TOTAL	Sensación de estar decaído o deprimido	Sí	Durante pandemia	14,81
Hombres	TOTAL	Sensación de estar decaído o deprimido	Sí	Anterior a pandemia	13,59
Hombres	TOTAL	Sensación de estar decaído o deprimido	No	Durante pandemia	85,19
Hombres	TOTAL	Sensación de estar decaído o deprimido	No	Anterior a pandemia	86,41
Hombres	TOTAL	Problemas para dormir	Total	Durante pandemia	100,00
Hombres	TOTAL	Problemas para dormir	Total	Anterior a pandemia	100,00
Hombres	TOTAL	Problemas para dormir	Sí	Durante pandemia	16,23
Hombres	TOTAL	Problemas para dormir	Sí	Anterior a pandemia	14,96
Hombres	TOTAL	Problemas para dormir	No	Durante pandemia	83,77
Hombres	TOTAL	Problemas para dormir	No	Anterior a pandemia	85,04
Hombres	TOTAL	Sensación de cansancio	Total	Durante pandemia	100,00
Hombres	TOTAL	Sensación de cansancio	Total	Anterior a pandemia	100,00
Hombres	TOTAL	Sensación de cansancio	Sí	Durante pandemia	13,39
Hombres	TOTAL	Sensación de cansancio	Sí	Anterior a pandemia	18,41
Hombres	TOTAL	Sensación de cansancio	No	Durante pandemia	86,61
Hombres	TOTAL	Sensación de cansancio	No	Anterior a pandemia	81,59
Hombres	TOTAL	Poco apetido o comer demasiado	Total	Durante pandemia	100,00
Hombres	TOTAL	Poco apetido o comer demasiado	Total	Anterior a pandemia	100,00
Hombres	TOTAL	Poco apetido o comer demasiado	Sí	Durante pandemia	7,26
Hombres	TOTAL	Poco apetido o comer demasiado	Sí	Anterior a pandemia	8,08
Hombres	TOTAL	Poco apetido o comer demasiado	No	Durante pandemia	92,74
Hombres	TOTAL	Poco apetido o comer demasiado	No	Anterior a pandemia	91,92
Hombres	TOTAL	Sentirse mal con uno mismo	Total	Durante pandemia	100,00
Hombres	TOTAL	Sentirse mal con uno mismo	Total	Anterior a pandemia	100,00
Hombres	TOTAL	Sentirse mal con uno mismo	Sí	Durante pandemia	4,56
Hombres	TOTAL	Sentirse mal con uno mismo	Sí	Anterior a pandemia	5,91
Hombres	TOTAL	Sentirse mal con uno mismo	No	Durante pandemia	95,44
Hombres	TOTAL	Sentirse mal con uno mismo	No	Anterior a pandemia	94,09
Hombres	TOTAL	Problemas para concentrarse	Total	Durante pandemia	100,00
Hombres	TOTAL	Problemas para concentrarse	Total	Anterior a pandemia	100,00
